DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,LEGS,DURATION,LANDINGS DAY,LANDINGS NIGHT,NIGHT,INSTRUMENT,APPROACHES & TYPE,CROSS COUNTRY,SECOND IN COMMAND,PILOT IN COMMAND,SIMULATED INSTRUMENT,INSTRUCTOR,DUAL,REMARKS,SIMULATOR,SOLO,FLIGHT COST,EXPENSES
4/11/2005,PA28R-200,3023K,AXH-SGR-AXH,1,1.8,4,,,1.2,2,,,,,,1.8,,,,,
4/13/2005,PA28R-200,3023K,AXH-AXH,1,1.5,4,,,,,,,,,,1.5,,,,,
4/15/2005,PA28R-200,3023K,AXH-AXH,1,1.4,3,,,,,,,,,,1.4,,,,,
4/19/2005,PA28R-200,3023K,AXH-SGR-AXH,1,1.3,8,,,,,,,,,,1.3,,,,,
4/22/2005,PA28-140,4024J,AXH-ADS-AXH,1,6.6,2,,,,,6.6,,6.6,2,,,,,,,
5/3/2005,PA28R-200,3023K,AXH-AXH,1,1.5,3,,,,,,,,,,1.5,,,,,
5/4/2005,PA28R-200,3023K,AXH-AXH,1,1.4,3,,,,,,,1.4,,,1.4,,,,,
5/9/2005,PA28R-200,3023K,AXH-GLS-AXH,1,1.1,2,,,,,,,1.1,,,,,,,,
5/24/2005,C172,5013R,AXH-LBX-AXH,1,0.9,2,,,,,,,0.9,,,,,,,,
6/4/2005,C152,67503,AXH-LBX-AXH,1,0.3,2,,,,,,,0.3,,,,,,,,
7/3/2005,C152,67503,AXH--AXH,1,1.6,2,,,,,,,1.6,,,,,,,,
8/1/2005,C152,67503,AXH-GLS-AXH,1,1.2,3,,,,,,,1.2,,,,,,,,
8/3/2005,PA28-140,4024J,AXH-PEX-AXH,1,4.5,2,,,,,4.5,,4.5,,,,,,,,
8/14/2005,PA28R-200,3023K,AXH-CXO-AXH,1,1.5,2,,,,,1.5,,1.5,,,,,,,,
11/17/2005,C152,47221,DWH-DWH,1,1.8,5,,,,,,,1.8,,,1.8,,,,,
11/21/2005,C152,47221,DWH-DWH,1,2,4,,,,,,,2,,,2,,,,,
11/21/2005,C152,67503,AXH-AUS-AXH,1,3.6,2,,,,,3.6,,3.6,,,,,,,,
12/5/2005,C152,555UF,DWH-DWH,1,2,5,,,,,,,2,,,2,,,,,
12/10/2005,C152,67503,AXH-CXO-AXH,1,2.2,1,2,2.2,,,2.2,,2.2,,,,,,,,
12/12/2005,C152,69191,DWH-CXO-DWH,1,1.5,5,,,,,1.5,,1.5,,,1.5,,,,,
12/12/2005,PA28-140,4024J,AXH-LBX,1,0.5,1,,,,,,,0.5,,,,,,,,
12/13/2005,C152,67503,LBX-AXH,1,0.4,1,,,,,,,0.4,,,,,,,,
12/13/2005,C172,5013R,AXH-AXH,1,2,1,,,,,,,2,,,,,,,,
12/18/2005,C152,47221,DWH-DWH,1,1.5,2,,,,,,,1.5,,,1.5,,,,,
1/11/2006,PA28R-200,897AL,AXH-AXH,1,1.6,1,,,,,,,1.6,,,1.6,,,,,
1/29/2006,PA28R-200,3023K,AXH-SGR-AXH,1,1,1,,,,,,,1,,,1,,,,,
2/2/2006,PA28R-200,3023K,AXH-SGR-AXH,1,1.5,3,,,,,,,1.5,,,1.5,,,,,
2/7/2006,PA28R-200,3023K,AXH-T41-AXH,1,1,3,,1,,,,,1,,,1,,,,,
2/8/2006,PA28R-200,3023K,AXH-EFD--AXH,1,1,2,,,,,,,1,,,1,,,,,
2/12/2006,PA28R-200,3023K,AXH--AXH,1,1.7,8,,,,,,,1.7,,,1.7,,,,,
3/1/2006,C172,5013R,AXH-SGR-AXH,1,0.5,4,,,,1,,,0.5,0.4,,0.5,,,,,
3/9/2006,C172,5013R,AXH-SGR-AXH,1,1.5,4,,,,3,,,1.5,1,,1.5,,,,,
3/14/2006,C172,5013R,AXH-CXO--AXH,1,1.6,1,3,1.6,,,1.6,,1.6,,,,,,,,
4/2/2006,C172,5013R,AXH--AXH,1,0.6,7,,,,,,,0.6,,,,,,,,
4/3/2006,C172,5013R,AXH-LBX-SGR-AXH,1,1.3,2,,,1,3,,,1.3,,,1.3,,,,,
4/4/2006,C172,5013R,AXH-LBX-AXH,1,1.3,1,,,1,3,,,1.3,,,1.3,,,,,
4/12/2006,C172,5013R,AXH-LBX-AXH,1,1.1,2,,,,3,,,1.1,1,,1.1,,,,,
4/13/2006,C172,5013R,AXH-LBX-AXH,1,1.4,1,,,,2,,,1,1,,1,,,,,
4/19/2006,C172,5013R,AXH--AXH,1,0.9,4,,,,,,,0.9,,0.9,,,,,,
4/19/2006,C172,5013R,AXH--AXH,1,0.9,4,,,,,,,0.9,,0.9,,,,,,
4/22/2006,C172,5013R,AXH--AXH,1,1.7,6,,,,,,,1.7,,1.7,,,,,,
4/22/2006,PA28R-200,9316C,AXH-AXH,1,1,1,,,,,,,1,,,,,,,,
4/30/2006,C172,5013R,AXH-AXH,1,2.7,11,,,,,,,2.7,,2.7,,,,,,
5/2/2006,C152,67503,AXH-AXH,1,1.9,1,,,,,,,1.9,,1.9,,,,,,
